number,PMID,gene,disease,body fluid,sequencing method,experiment,Drug resistance,disease prognosis,characteration of tumors,prospects for detection,metastasis biomarker,therapy,others
16,32196518,EGFR,Non-Small Cell Lung Cancer,plasma,PANAmutyperTMR EGFR and KRAS detection kit,Consecutive cases of NSCLC with matching surgically resected tissue specimens and peripheral or specimen blood samples were eligible for this study. EGFR and KRAS mutations in plasma ctDNA and formalin-fixed paraffin-embedded tissue were analyzed using peptide nucleic acid clamping-assisted method. The plasma and tissue results were compared according to clinicopathological features,_,_,"tumors shedding EGFR mutant ctDNA in plasma had significantly larger tumor diameter (median [range], 5.45 [4.9每6.0] cm vs. 2.5 [0.8每3.5] cm; p = 0.027), tumor volume (median [range], 64.0 [44.60~83.40] cm3 vs. 5.45 [0.48每21.80] cm3; p = 0.027), and higher mitotic rate (median [range] per 10 HPFs, 16 vs 0 [0每5]; p = 0.009) than non-shedding tumors",_,"detection of EGFR mutated ctDNA was significantly associated with nodal metastasis (p = 0.029), vascular invasion (p = 0.029)",_,associated to solid adenocarcinoma pattern (p = 0.010) and tumor necrosis (p = 0.010) of primary tumor
17,33831609,EGFR,Non-Small Cell Lung Cancer,plasma,dpcr,"A total of 830 plasma samples from 228 patients with stage IV, EGFR-positive NSCLC who were treated with first-line TKIs were analysed by digital polymerase chain reaction (dPCR).",_,"in patients with  osimertinib treatment ,Patients with ctDNA detected at an MAF ≡7% in the pre-treatment sample had significantly worse PFS and OS;baseline with detectable mutation patients with afatinib, erlotinib or gefitinib treatment have similar condition,after treatment(3,6 month),lower detection have longer PFS and  OS",_,_,_,_,_
18,30862692,PIK3CA,Breast Cancer,plasma,ddpcr,"We aim to evaluate whether circulating tumor DNA (ctDNA) is associated with response to anti-HER2-targeted therapy.Plasma DNA collected before NAT, at week 2, and before surgery from patients enrolled in the NeoALTTO trial was assessed using digital PCR for PIK3CA and TP53 mutation detection.",_,"ctDNA detection at baseline, considered as a binary variable, was associated with decreased odds of achieving pCR",_,_,_,_,_
19,30862692,TP53,Breast Cancer,plasma,ddpcr,"We aim to evaluate whether circulating tumor DNA (ctDNA) is associated with response to anti-HER2-targeted therapy.Plasma DNA collected before NAT, at week 2, and before surgery from patients enrolled in the NeoALTTO trial was assessed using digital PCR for PIK3CA and TP53 mutation detection.",_,"ctDNA detection at baseline, considered as a binary variable, was associated with decreased odds of achieving pCR",_,_,_,_,_
20,35273907,EGFR,Non-Small Cell Lung Cancer,plasma,_,"In this study, 221 tumor tissues and 174 plasma samples from NSCLC patients were analyzed by hybridization capture-based next-generation sequencing (NGS) panel including 95 cancer-associated genes. Tumor response assessments were applied to 137 patients with advanced-stage (III and IV) NSCLC who first received targeted agents",_,"related  to poor response rate, the response rate (RR = CR + PR) was 44.44% (4/9) in patients with EGFR alterations alone, while only 12.5% (2/16) in patients with EGFR&TP53 co-alterations.",_,_,_,_,_
21,35273907,TP53,Non-Small Cell Lung Cancer,plasma,_,"In this study, 221 tumor tissues and 174 plasma samples from NSCLC patients were analyzed by hybridization capture-based next-generation sequencing (NGS) panel including 95 cancer-associated genes. Tumor response assessments were applied to 137 patients with advanced-stage (III and IV) NSCLC who first received targeted agents",_,"related  to poor response rate, the response rate (RR = CR + PR) was 44.44% (4/9) in patients with EGFR alterations alone, while only 12.5% (2/16) in patients with EGFR&TP53 co-alterations.",_,_,_,_,_
22,30706231,TP53,Colorectal Cancer,plasma,Illumina HiSeq 2500,"Between November 2014 and November 2015, 60 patients with CRC were identified and prospectively enrolled. During liver resection, blood was drawn from peripheral (PERIPH), portal (PV), and hepatic (HV) veins, and 3-4 weeks postoperatively from a peripheral vein (POSTOP). Kappa statistics were used to compare mutated (mt) genes in tissue and ctDNA. Disease-specific and disease-free survival (DSS and DFS) were assessed from surgery with Kaplan-Meier and Cox methods.",_,"Detection of PERIPH mtTP53 was associated with worse DSS (2y:79%, 95%CI:48-93%) compared to patients lacking detection,Larger tumors were also associated with detection and higher VAF of mtTP53 in PERIPH and perihepatic blood.",_,_,_,_,_
23,30706231,APC,Colorectal Cancer,plasma,Illumina HiSeq 2500,"Between November 2014 and November 2015, 60 patients with CRC were identified and prospectively enrolled. During liver resection, blood was drawn from peripheral (PERIPH), portal (PV), and hepatic (HV) veins, and 3-4 weeks postoperatively from a peripheral vein (POSTOP). Kappa statistics were used to compare mutated (mt) genes in tissue and ctDNA. Disease-specific and disease-free survival (DSS and DFS) were assessed from surgery with Kaplan-Meier and Cox methods.",_,_,mtAPC detection was associated with larger tumors.,_,_,_,_
24,31439584,EGFR,Non-Small Cell Lung Cancer,plasma,cobasEGFR Mutation Test v2 (cobas plasma) assay,Tumor tissue EGFRm status was determined at screening using the central cobas tissue test or a local tissue test. Baseline circulating tumor (ct)DNA EGFRm status was retrospectively determined with the central cobas plasma test,_,_,"Importantly, at baseline, the median target lesion tumor size was significantly greater in those patients with a cobas plasma EGFRm-positive status (55 mm) than those with an EGFRm-negative status (35 mm)",_,_,_,_
25,27712015,KRAS,Metastatic Colorectal Cancer,plasma,Ion Proton sequencer.,"Patients were randomized in a 1:1 ratio to receive either panitumumab at 6 mg/kg with FOLFIRI once every 2 weeks or bevacizumab at 5 mg/kg with FOLFIRI every 2 weeks in one cycle. Randomization was stratified according to institutions and three groups by Khne prognostic index.19 Treatment was discontinued upon disease progression, occurrence of unacceptable severe toxicity, or patient request. Radiologic tumor evaluations were repeated every 8 weeks during the first year and every 12 weeks thereafter by each investigator according to RECIST version 1.1. Adverse events (AEs) were graded using the Common Terminology Criteria for Adverse Events version 4.0.",_,_,_,_,_,"RAS and BRAF mutation in ctDNA could be a negative predictive marker for panitumumab; Patients with any RAS or BRAF mutation showed worse OS in FOLFIRI plus panitumumab arm than in FOLFIRI plus bevacizumab arm (median 5.4 vs 8.2 months; HR, 0.42).",_
26,27712015,NRAS,Metastatic Colorectal Cancer,plasma,Ion Proton sequencer.,"Patients were randomized in a 1:1 ratio to receive either panitumumab at 6 mg/kg with FOLFIRI once every 2 weeks or bevacizumab at 5 mg/kg with FOLFIRI every 2 weeks in one cycle. Randomization was stratified according to institutions and three groups by K hne prognostic index.19 Treatment was discontinued upon disease progression, occurrence of unacceptable severe toxicity, or patient request. Radiologic tumor evaluations were repeated every 8 weeks during the first year and every 12 weeks thereafter by each investigator according to RECIST version 1.1. Adverse events (AEs) were graded using the Common Terminology Criteria for Adverse Events version 4.0.",_,_,_,_,_,"RAS and BRAF mutation in ctDNA could be a negative predictive marker for panitumumab; Patients with any RAS or BRAF mutation showed worse OS in FOLFIRI plus panitumumab arm than in FOLFIRI plus bevacizumab arm (median 5.4 vs 8.2 months; HR, 0.43).",_
27,27712015,BRAF,Metastatic Colorectal Cancer,plasma,Ion Proton sequencer.,"Patients were randomized in a 1:1 ratio to receive either panitumumab at 6 mg/kg with FOLFIRI once every 2 weeks or bevacizumab at 5 mg/kg with FOLFIRI every 2 weeks in one cycle. Randomization was stratified according to institutions and three groups by K hne prognostic index.19 Treatment was discontinued upon disease progression, occurrence of unacceptable severe toxicity, or patient request. Radiologic tumor evaluations were repeated every 8 weeks during the first year and every 12 weeks thereafter by each investigator according to RECIST version 1.1. Adverse events (AEs) were graded using the Common Terminology Criteria for Adverse Events version 4.0.",_,_,_,_,_,"RAS and BRAF mutation in ctDNA could be a negative predictive marker for panitumumab; Patients with any RAS or BRAF mutation showed worse OS in FOLFIRI plus panitumumab arm than in FOLFIRI plus bevacizumab arm (median 5.4 vs 8.2 months; HR, 0.44).",_
28,34312841,TNFAIP3,Hodgkin Lymphoma,plasma,"NextSeq sequencer (Illumina, San Diego, CA, USA)","cell free DNA (cfDNA) isolated from plasma collected at diagnosis, before any treatment start (n= 60 patients), and paired normal genomic or additional cfDNA samples during treatment (data not shown), for comparative purposes to confirm the somatic origin of mutations",_,_,_,_,_,_,"we observed that mutations in LRRN3, CSF2RB and B2 M genes were particularly enriched in nodular sclerosis HL compared with other subtypesㄛTNFAIP3 and SOCS1 mutations were significantly enriched within the group of patients with higher levels of LDH"
29,34312841,SOCS1,Hodgkin Lymphoma,plasma,"NextSeq sequencer (Illumina, San Diego, CA, USA)","cell free DNA (cfDNA) isolated from plasma collected at diagnosis, before any treatment start (n = 60 patients), and paired normal genomic or additional cfDNA samples during treatment (data not shown), for comparative purposes to confirm the somatic origin of mutations",_,_,_,_,_,_,"we observed that mutations in LRRN3, CSF2RB and B2 M genes were particularly enriched in nodular sclerosis HL compared with other subtypesㄛTNFAIP3 and SOCS1 mutations were significantly enriched within the group of patients with higher levels of LDH"
30,35046520,PIK3CA,Urothelial Cancer,plasma,NextSeq 500 or HiSeq 2500,We performed targeted sequencing of 182 serial ctDNA samples from 53 patients with advanced UC.,_,"Patients with detectable PIK3CA ctDNA GAs at any time point (n = 10/53) had shorter overall survival in univariate analysis (HR: 3.27, 95% CI:1.08每9.92, p = 0.03) and multivariate analysis (HR: 2.87, p = 0.038).",_,_,_,_,_
31,35046520,KRAS,Gastroenteropancreatic Neuroendocrine Carcinomas,plasma,NGS,"The CIRCAN-NEC study included patients with GEPNEC or NEC from an unknown primary, scheduled to begin first- or second-line chemotherapy. Blood samples were collected prior to chemotherapy initiation, at first evaluation, and during disease progression. ctDNA was sequenced by next-generation sequencing (NGS). Molecular response was defined as a decrease of at least 30% of the mutant allele fraction",_,"patients with KRAS (HR = 3.60, 95% CI [1.06-12.04]) and BRAF (HR = 4.25, 95% CI [1.11-16.40]) mutations had shorter progression-free survival (PFS) under platinum-etoposide",_,_,_,_,_
32,35046520,BRAF,Gastroenteropancreatic Neuroendocrine Carcinomas,plasma,NGS,"The CIRCAN-NEC study included patients with GEPNEC or NEC from an unknown primary, scheduled to begin first- or second-line chemotherapy. Blood samples were collected prior to chemotherapy initiation, at first evaluation, and during disease progression. ctDNA was sequenced by next-generation sequencing (NGS). Molecular response was defined as a decrease of at least 30% of the mutant allele fraction",_,"patients with KRAS (HR = 3.60, 95% CI [1.06-12.04]) and BRAF (HR = 4.25, 95% CI [1.11-16.40]) mutations had shorter progression-free survival (PFS) under platinum-etoposide",_,_,_,_,_
33,35046520,RB1,Gastroenteropancreatic Neuroendocrine Carcinomas,plasma,NGS,"The CIRCAN-NEC study included patients with GEPNEC or NEC from an unknown primary, scheduled to begin first- or second-line chemotherapy. Blood samples were collected prior to chemotherapy initiation, at first evaluation, and during disease progression. ctDNA was sequenced by next-generation sequencing (NGS). Molecular response was defined as a decrease of at least 30% of the mutant allele fraction",_,2 patients with RB1 mutations had shorter PFS under FOLFIRI-based chemotherapy.,_,_,_,_,_
34,33893289,ESR1,Breast Cancer,plasma,droplet digital PCR (ddPCR) and error corrected targeted sequencing,"Here we define the genomic profile of metastatic breast cancer using ctDNA sequencing from patients within plasmaMATCH, a prospective platform trial leveraging ctDNA analysis in patients with metastatic breast cancer for which the primary outcomes have been published28. In this ad-hoc analysis we investigate how the profile of somatic genetic alterations in ctDNA differs from that obtained by tumour tissue sequencing. Using the rich clinical data set associated with the clinical trial, we explore the clinical and pathological associations of advanced breast cancer genomics, and define the processes that generate the genomic diversity of metastatic breast cancer.",_,"We demonstrate diverse subclonal resistance mutations, including enrichment of HER2 mutations in HER2 positive disease, co-occurring ESR1 and MAP kinase pathway mutations in HR + HER2- disease that associate with poor overall survival (p = 0.0092)",_,_,"Bone disease was positively associated with ESR1 and GATA3 alterations, Liver disease showed a positive association with ESR1 alterations (q < 0.0001), In HR + HER2- disease ESR1 mutations were positively associated with liver and bone disease (q = 0.004 and q = 0.02, respectively)",_,_
35,33893289,GATA3,Breast Cancer,plasma,droplet digital PCR (ddPCR) and error corrected targeted sequencing,"Here we define the genomic profile of metastatic breast cancer using ctDNA sequencing from patients within plasmaMATCH, a prospective platform trial leveraging ctDNA analysis in patients with metastatic breast cancer for which the primary outcomes have been published28. In this ad-hoc analysis we investigate how the profile of somatic genetic alterations in ctDNA differs from that obtained by tumour tissue sequencing. Using the rich clinical data set associated with the clinical trial, we explore the clinical and pathological associations of advanced breast cancer genomics, and define the processes that generate the genomic diversity of metastatic breast cancer.",_,_,_,_,Bone disease was positively associated with ESR1 and GATA3 alterations,_,ESR1 and TP53 alterations were mutually exclusive (q < 0.0001)
36,33893289,PIK3CA,Breast Cancer,plasma,droplet digital PCR (ddPCR) and error corrected targeted sequencing,"Here we define the genomic profile of metastatic breast cancer using ctDNA sequencing from patients within plasmaMATCH, a prospective platform trial leveraging ctDNA analysis in patients with metastatic breast cancer for which the primary outcomes have been published28. In this ad-hoc analysis we investigate how the profile of somatic genetic alterations in ctDNA differs from that obtained by tumour tissue sequencing. Using the rich clinical data set associated with the clinical trial, we explore the clinical and pathological associations of advanced breast cancer genomics, and define the processes that generate the genomic diversity of metastatic breast cancer.",_,multiple PIK3CA mutations in HR + disease that associate with short progression free survival on fulvestrant (p = 0.0036),_,_,_,_,PIK3CA and AKT1 alterations were mutually exclusive (q = 0.001)
37,31658042,BRAF,Colorectal Cancer,plasma/urine,ddPCR,Blood and urine specimens were collected from 150 individuals with metastatic colorectal cancer (mCRC). Patients had multiple metastases and advanced stages of cancer. Common genetic mutations including KRAS and BRAF genetic abnormalities were evaluated. Patients were also serially monitored and compared.,_,_,_,"Among the identified mutations, matched tumor tissue profiles compared to results from plasma ctDNA was 92%. For urine cell free DNA, the concordance among the identified mutations was 91%. Both sample types were closely matched to reference standards of tissue biopsy and indicated good clinical utility. Serial measurements indicated trends within each patient group that was linked with disease outcome.",_,_,_
38,31658042,KRAS,Colorectal Cancer,plasma/urine,ddPCR,Blood and urine specimens were collected from 150 individuals with metastatic colorectal cancer (mCRC). Patients had multiple metastases and advanced stages of cancer. Common genetic mutations including KRAS and BRAF genetic abnormalities were evaluated. Patients were also serially monitored and compared.,_,_,_,"Among the identified mutations, matched tumor tissue profiles compared to results from plasma ctDNA was 92%. For urine cell free DNA, the concordance among the identified mutations was 91%. Both sample types were closely matched to reference standards of tissue biopsy and indicated good clinical utility. Serial measurements indicated trends within each patient group that was linked with disease outcome.",_,_,_
39,31563523,TP53,Urothelial Cancer,plasma,_,"we analysed the ctDNA in BRAF and NRAS-mutated melanoma patients at baseline (n = 48) and within 8 weeks of treatment initiation (n = 25) to determine whether ctDNA correlates with treatment response and clinical benefit. We also analysed the dynamic changes in ctDNA in response to MAPK inhibitors and immunotherapies during response and after progression. Furthermore, we evaluated the ctDNA for the presence of mutations associated with resistance to BRAF inhibitor therapy.",_,ctDNA fraction of >2% was significantly associated with worse overall survival (p=0.039),_,_,_,_,_
40,31563523,TERT,Urothelial Cancer,plasma,_,"we analysed the ctDNA in BRAF and NRAS-mutated melanoma patients at baseline (n = 48) and within 8 weeks of treatment initiation (n = 25) to determine whether ctDNA correlates with treatment response and clinical benefit. We also analysed the dynamic changes in ctDNA in response to MAPK inhibitors and immunotherapies during response and after progression. Furthermore, we evaluated the ctDNA for the presence of mutations associated with resistance to BRAF inhibitor therapy.",_,ctDNA fraction of >2% was significantly associated with worse overall survival (p=0.039),_,_,_,_,_
41,31563523,ERBB2,Urothelial Cancer,plasma,_,"we analysed the ctDNA in BRAF and NRAS-mutated melanoma patients at baseline (n = 48) and within 8 weeks of treatment initiation (n = 25) to determine whether ctDNA correlates with treatment response and clinical benefit. We also analysed the dynamic changes in ctDNA in response to MAPK inhibitors and immunotherapies during response and after progression. Furthermore, we evaluated the ctDNA for the presence of mutations associated with resistance to BRAF inhibitor therapy.",_,ctDNA fraction of >2% was significantly associated with worse overall survival (p=0.039),_,_,_,_,_
42,35688061,RAS,Colorectal Cancer,plasma,_,"A total of 64 patients who received modified FOLFOXIRI regimen (irinotecan 150 mg/m2, oxaliplatin 85 mg/m2, levofolinate 200 mg/m2, and fluorouracil 2400 mg/m2) plus bevacizumab biweekly were enrolled. The primary endpoint was the objective response rate (ORR). Plasma samples were collected at pre-treatment, 8 weeks after treatment, and progression in participants included in the biomarker study. The levels of circulating tumour DNA (ctDNA) and specific KRAS and NRAS variants were evaluated using real-time PCR assays",_,Our biomarker study demonstrated no RAS mutations in ctDNA at disease progression in 62% of patients with RAS-mutant mCRC. Both OS and post-progression survival were better in patients with clearance of RAS mutations in ctDNA after triplet-based chemotherapy,_,_,_,_,_
43,34376535,FGFR2,Gastric Cancer,plasma,"Illumina NextSeq 550 platform (Illumina, Inc.)","We assessed genomic characteristics of FGFR2-amplified advanced gastric cancer in a nationwide ctDNA screening study. We also analyzed FGFR2 amplification status in paired tissue and plasma samples with advanced gastric cancer. In addition, we examined patients with FGFR2-amplified advanced gastric cancer identified by ctDNA sequencing who received FGFR inhibitors.",_,Patients with such FGFR2 amplifications have a poor prognosis when treated with standard nontargeted therapies but may benefit from FGFR inhibitor treatment.,_,the utility of ctDNA sequencing for the detection of FGFR2 amplification that is missed by tissue analysis,_,_,_
44,34376535,MET,Gastric Cancer,plasma,"Illumina NextSeq 550 platform (Illumina, Inc.)","We assessed genomic characteristics of FGFR2-amplified advanced gastric cancer in a nationwide ctDNA screening study. We also analyzed FGFR2 amplification status in paired tissue and plasma samples with advanced gastric cancer. In addition, we examined patients with FGFR2-amplified advanced gastric cancer identified by ctDNA sequencing who received FGFR inhibitors.",_,_,_,_,_,"concurrent MET amplification detected by ctDNA sequencing was associated with limited clinical efficacy of FGFR inhibition, suggesting that combined FGFR and MET inhibition may be indicated in such cases.",_
45,32279416,TP53,Hepatocellular Carcinoma,plasma,NGS(Illumina) ,"Seventy-three HCC patients were enrolled and randomly divided into a training cohort and a validation cohort in a 2:1 ratio, and preoperative blood and surgical tissue samples were obtained. Genomic alterations were analysed using targeted deep sequencing with a 1021-gene panel",_,_,_,_,"The frequency of TP53 was significantly higher in the MVI坼positive(Microvascular invasion) group than in the MVI坼negative group (79.3% vs 36.4%, P = .03)",_,_
46,31395942,KRAS,Colorectal Cancer,plasma,commercial version of anchored multiplex PCR (AMP),"the primary aim of this phase II study of mCRC patients treated with FOLFIRI based first-line therapy, was to assess whether changes in plasma cfDNA and ctDNA, during the first months of treatment, could be used as an early marker of FOLFIRI effectiveness.",_,"Patients with high ctDNA levels (≡75th centile) at pre-treatment  had a shorter PFS (157 days versus 226 days) than patients with low pre-treatment ctDNA levels;post treatment, We observed a shorter PFS in patients with a ≡ 10-fold reduction in ctDNA (n = 6, HR = 3.20, 95%CI = 1.10每9.20, p = 0.02).",_,_,_,_,_
47,31395942,BRAF,Colorectal Cancer,plasma,commercial version of anchored multiplex PCR (AMP),"the primary aim of this phase II study of mCRC patients treated with FOLFIRI based first-line therapy, was to assess whether changes in plasma cfDNA and ctDNA, during the first months of treatment, could be used as an early marker of FOLFIRI effectiveness.",_,"Patients with high ctDNA levels (≡75th centile) at pre-treatment  had a shorter PFS (157 days versus 226 days) than patients with low pre-treatment ctDNA levels;post treatment, We observed a shorter PFS in patients with a ≡ 10-fold reduction in ctDNA (n = 6, HR = 3.20, 95%CI = 1.10每9.20, p = 0.02).",_,_,_,_,_
48,31395942,NRAS,Colorectal Cancer,plasma,commercial version of anchored multiplex PCR (AMP),"the primary aim of this phase II study of mCRC patients treated with FOLFIRI based first-line therapy, was to assess whether changes in plasma cfDNA and ctDNA, during the first months of treatment, could be used as an early marker of FOLFIRI effectiveness.",_,"Patients with high ctDNA levels (≡75th centile) at pre-treatment  had a shorter PFS (157 days versus 226 days) than patients with low pre-treatment ctDNA levels;post treatment, We observed a shorter PFS in patients with a ≡ 10-fold reduction in ctDNA (n = 6, HR = 3.20, 95%CI = 1.10每9.20, p = 0.02).",_,_,_,_,_
